"No.","Time","Source","Destination","Protocol","Length","Info"
"23883","2017-07-31 12:55:42.557084","10.8.113.245","10.8.227.69","TCP","54","443  >  59508 [FIN, ACK] Seq=2434 Ack=902 Win=66048 Len=0"
"23884","2017-07-31 12:55:42.557145","10.8.227.69","10.8.113.245","TCP","54","59508  >  443 [ACK] Seq=902 Ack=2435 Win=65280 Len=0"
"23885","2017-07-31 12:55:42.560861","10.8.227.69","10.8.113.245","TCP","66","59510  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23886","2017-07-31 12:55:42.563332","10.8.113.245","10.8.227.69","TCP","66","443  >  59510 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23887","2017-07-31 12:55:42.563442","10.8.227.69","10.8.113.245","TCP","54","59510  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23888","2017-07-31 12:55:42.568076","10.8.227.69","10.8.135.56","TLSv1.2","571","Client Hello"
"23889","2017-07-31 12:55:42.578028","10.8.227.69","10.8.113.245","TLSv1.2","571","Client Hello"
"23890","2017-07-31 12:55:42.595767","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23891","2017-07-31 12:55:42.595856","10.8.227.69","10.8.113.245","SSH","102","Client: Encrypted packet (len=48)"
"23892","2017-07-31 12:55:42.611130","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
