megaBytesSent	packetsSent	megaBytesReceived	packetsReceived	
0.5710239410400391	591	0.034626007080078125	372
0.5619945526123047	583	0.0347137451171875	376
0.5621871948242188	588	0.03404808044433594	361
0.5713405609130859	595	0.034091949462890625	358
0.5291976928710938	626	0.15648460388183594	459
0.5636863708496094	1126	1.0858135223388672	1614
0.5784931182861328	905	0.6684856414794922	1046
0.5717735290527344	606	0.046855926513671875	380
0.5632781982421875	604	0.04040336608886719	373
0.5622615814208984	591	0.04377555847167969	381
0.5625267028808594	590	0.035541534423828125	380
0.5649814605712891	586	0.03426933288574219	361
0.5693626403808594	606	0.034847259521484375	376
0.5620784759521484	583	0.03403472900390625	364
0.5616436004638672	581	0.03658866882324219	363
0.5415363311767578	1041	1.0575141906738281	1462
0.5842456817626953	1011	0.7950267791748047	1237
0.5626144409179688	596	0.04088592529296875	380
